Id,Spoken Phrase,I,S,D,WA,WER,Interpreted Phrase
a10,Jazz and swing fans like fast music.,0,4,0,0.42857142857142855,0.5714285714285714,jazz and swing from school expressed munich
a1,Please take this dirty table cloth to the cleaners for me.,1,5,5,0.09090909090909091,1.0,pleased to stirred awoke burglars were made
a2,My father ran him off here six years ago.,0,2,0,0.7777777777777778,0.2222222222222222,her father ran him off for six years ago
a3,Who authorized the unlimited expense account?,2,4,0,0.3333333333333333,1.0,you will throw as you know expense account
a4,"We can get it if we dig, he said patiently.",0,6,3,0.1,0.9,when did it for good you sequentially
a5,The fish began to leap frantically on the surface of the small lake.,0,6,3,0.3076923076923077,0.6923076923076923,the fish into lee friends around the surface was bullied
a6,Micheal colored the bedroom wall with crayons.,0,6,1,0.0,1.0,what cool clothes are most crowns
a7,Right now may not be the best time for business mergers.,0,4,2,0.45454545454545453,0.5454545454545454,for none of the best time for business murders
a8,Highway and freeway mean the same thing.,1,2,4,0.14285714285714285,1.0,the winter when something
a9,His hip struck the knee of the next player.,0,5,4,0.0,1.0,is that shrugged immunex clear
b10,Find my phone.,0,2,1,0.0,1.0,farmers home
b11,Play MSNBC from Tunein.,1,4,0,0.0,1.25,when the someday soon forgotten
b1,What is the weather like?,1,0,0,1.0,0.2,what is the weather like it
b2,How many ounces are in a cup?,0,5,1,0.14285714285714285,0.8571428571428571,tell me houses are the open
b3,Set an alarm for 5:30am.,2,5,0,0.0,1.4,so the larger five thirty a. m.
b4,Play Drake on Spotify.,0,3,1,0.0,1.0,plagiarism slow flowing
b5,Turn on the lights.,0,2,2,0.0,1.0,trauma likes
b6,Raise the temperature 5 degrees.,0,4,1,0.0,1.0,risen to nurture factories
b7,Add spaghetti to my shopping list.,0,6,0,0.0,1.0,there's good image of the worst
b8,How much is a round-trip flight to New York?,1,2,1,0.6666666666666666,0.4444444444444444,which is a round trip flight to new york
b9,What's the best restaurant in Berlin?,0,3,0,0.5,0.5,was the buzzer schrock in berlin
